step,losses/eval.bodypart_heatmap,losses/eval.bodypart_locref,losses/eval.bodypart_total_loss,losses/eval.total_loss,losses/train.bodypart_heatmap,losses/train.bodypart_locref,losses/train.bodypart_total_loss,losses/train.total_loss,metrics/test.mAP,metrics/test.mAR,metrics/test.rmse,metrics/test.rmse_pcutoff
67,,,,,0.0002641640603542328,0.04546375945210457,0.0012686760164797306,0.0012686760164797306,,,,
68,,,,,0.0002776631445158273,0.05180944502353668,0.0014340677298605442,0.0014340677298605442,,,,
69,,,,,0.00029600999550893903,0.05726031959056854,0.0015795130748301744,0.0015795130748301744,,,,
70,0.00024332586326636374,0.07857148349285126,0.0020859502255916595,0.0020859502255916595,0.0002959216944873333,0.05637916922569275,0.0015574400313198566,0.0015574400313198566,100.0,100.0,3.7059566791240988,3.7059566791240988
71,,,,,0.00028482091147452593,0.05266213044524193,0.0014589637285098433,0.0014589637285098433,,,,
72,,,,,0.00027987093199044466,0.048716820776462555,0.0013578560901805758,0.0013578560901805758,,,,
73,,,,,0.0002798901405185461,0.051923297345638275,0.0014380275970324874,0.0014380275970324874,,,,
74,,,,,0.0002670879184734076,0.04639895260334015,0.0012935178820043802,0.0012935178820043802,,,,
75,,,,,0.00027839309768751264,0.048653263598680496,0.0013555281329900026,0.0013555281329900026,,,,
76,,,,,0.00026724598137661815,0.04980911314487457,0.0013788507785648108,0.0013788507785648108,,,,
77,,,,,0.00026959110982716084,0.047581739723682404,0.0013243390712887049,0.0013243390712887049,,,,
78,,,,,0.00028164504328742623,0.05580523982644081,0.001535953488200903,0.001535953488200903,,,,
79,,,,,0.00025077819009311497,0.04610956460237503,0.0012781282421201468,0.0012781282421201468,,,,
80,0.00021516470587812364,0.07115504890680313,0.0018864586018025875,0.0018864586018025875,0.00026072561740875244,0.05331243947148323,0.0014631738886237144,0.0014631738886237144,100.0,100.0,3.5456607525165262,3.5456607525165262
81,,,,,0.0002653215196914971,0.05230775475502014,0.001440354622900486,0.001440354622900486,,,,
82,,,,,0.00027152529219165444,0.052084214985370636,0.0014378679916262627,0.0014378679916262627,,,,
83,,,,,0.00024645027588121593,0.04779103398323059,0.0013180011883378029,0.0013180011883378029,,,,
84,,,,,0.00023603980662301183,0.04137084260582924,0.0011522909626364708,0.0011522909626364708,,,,
85,,,,,0.0002329979179194197,0.042716994881629944,0.0011844238033518195,0.0011844238033518195,,,,
86,,,,,0.0002511552593205124,0.04948485642671585,0.0013626990839838982,0.0013626990839838982,,,,
87,,,,,0.00024321595265064389,0.05026627704501152,0.0013782649766653776,0.0013782649766653776,,,,
88,,,,,0.00021644891239702702,0.042763851583004,0.001177320838905871,0.001177320838905871,,,,
89,,,,,0.0002487241290509701,0.049668680876493454,0.0013660790864378214,0.0013660790864378214,,,,
90,0.00016365849296562374,0.05769862234592438,0.001524294726550579,0.001524294726550579,0.00020269535889383405,0.040260858833789825,0.0011078693205490708,0.0011078693205490708,100.0,100.0,3.3065191415640025,3.3065191415640025
91,,,,,0.00021772632317151874,0.043318554759025574,0.0011918271193280816,0.0011918271193280816,,,,
92,,,,,0.00018755602650344372,0.03464370220899582,0.0009598706383258104,0.0009598706383258104,,,,
93,,,,,0.0001920278591569513,0.03694692999124527,0.001019687158986926,0.001019687158986926,,,,
94,,,,,0.00020318037422839552,0.038317762315273285,0.0010595342610031366,0.0010595342610031366,,,,
95,,,,,0.00017869147995952517,0.03153729438781738,0.0008777781040407717,0.0008777781040407717,,,,
96,,,,,0.00017997497343458235,0.033022426068782806,0.0009155480656772852,0.0009155480656772852,,,,
97,,,,,0.0001746323541738093,0.025682900100946426,0.0007293886737897992,0.0007293886737897992,,,,
98,,,,,0.00017578896949999034,0.02598443254828453,0.0007375053246505558,0.0007375053246505558,,,,
99,,,,,0.0002170981897506863,0.036085885018110275,0.0010106961708515882,0.0010106961708515882,,,,
100,0.0001435157173546031,0.041985273361206055,0.0011213896796107292,0.0011213896796107292,0.00017863776884041727,0.032614558935165405,0.0009046828490681946,0.0009046828490681946,100.0,100.0,2.483809837928185,2.483809837928185
101,,,,,0.00018624597578309476,0.03343026712536812,0.0009288795990869403,0.0009288795990869403,,,,
102,,,,,0.0001528414577478543,0.01998302713036537,0.000575996411498636,0.000575996411498636,,,,
103,,,,,0.00017571121861692518,0.026607023552060127,0.0007530312286689878,0.0007530312286689878,,,,
104,,,,,0.00018231954891234636,0.029234934598207474,0.0008220331510528922,0.0008220331510528922,,,,
105,,,,,0.00019070190319325775,0.030733704566955566,0.0008636935381218791,0.0008636935381218791,,,,
106,,,,,0.00016223671264015138,0.027466341853141785,0.0007677769172005355,0.0007677769172005355,,,,
107,,,,,0.00016046344535425305,0.02660237066447735,0.0007452910649590194,0.0007452910649590194,,,,
108,,,,,0.00017806458345148712,0.028196431696414948,0.0007939431234262884,0.0007939431234262884,,,,
109,,,,,0.00019176697242073715,0.028413288295269012,0.0008062157430686057,0.0008062157430686057,,,,
110,0.00013881834456697106,0.04014524817466736,0.0010730403009802103,0.0010730403009802103,0.00017447392747271806,0.029301151633262634,0.000819765729829669,0.000819765729829669,100.0,100.0,2.3010391822228065,2.3010391822228065
111,,,,,0.00016781306476332247,0.02345602586865425,0.0006703071412630379,0.0006703071412630379,,,,
112,,,,,0.00018127195653505623,0.03134584426879883,0.000874282035510987,0.000874282035510987,,,,
113,,,,,0.00015748580335639417,0.024923378601670265,0.0007018274045549333,0.0007018274045549333,,,,
114,,,,,0.00014854119217488915,0.02248884178698063,0.0006364916916936636,0.0006364916916936636,,,,
115,,,,,0.00015673994494136423,0.0226752907037735,0.000645252235699445,0.000645252235699445,,,,
116,,,,,0.0001524076797068119,0.020196355879306793,0.000581112748477608,0.000581112748477608,,,,
117,,,,,0.0001576347422087565,0.022757267579436302,0.0006477490533143282,0.0006477490533143282,,,,
118,,,,,0.0001658441178733483,0.02743653394281864,0.000768835365306586,0.000768835365306586,,,,
119,,,,,0.0001557685318402946,0.023706525564193726,0.0006705474224872887,0.0006705474224872887,,,,
120,0.0001369329693261534,0.039006803184747696,0.0010436365846544504,0.0010436365846544504,0.0001740571460686624,0.027546294033527374,0.0007756859413348138,0.0007756859413348138,100.0,100.0,2.579541719876803,2.579541719876803
121,,,,,0.00015372404595836997,0.024175383150577545,0.0006812466308474541,0.0006812466308474541,,,,
122,,,,,0.0001543152320664376,0.023753419518470764,0.0006709930603392422,0.0006709930603392422,,,,
123,,,,,0.0001324909389950335,0.017626928165555,0.0005069187027402222,0.0005069187027402222,,,,
124,,,,,0.00016835748101584613,0.024442240595817566,0.0006952348630875349,0.0006952348630875349,,,,
125,,,,,0.0001819076423998922,0.03310225158929825,0.0009185100789181888,0.0009185100789181888,,,,
126,,,,,0.00017518835375085473,0.026434360072016716,0.0007484531961381435,0.0007484531961381435,,,,
127,,,,,0.00016113955643959343,0.02312220260500908,0.000658624863717705,0.000658624863717705,,,,
128,,,,,0.00014992177602835,0.021176211535930634,0.00060436618514359,0.00060436618514359,,,,
129,,,,,0.000154690642375499,0.023466145619750023,0.0006639989442192018,0.0006639989442192018,,,,
130,0.00013612578914035112,0.03698563575744629,0.00099270383361727,0.00099270383361727,0.00015300005907192826,0.02416144870221615,0.0006805362645536661,0.0006805362645536661,100.0,100.0,2.405702590942383,2.405702590942383
131,,,,,0.00016112795856315643,0.023215338587760925,0.0006609474075958133,0.0006609474075958133,,,,
132,,,,,0.00015641270147170871,0.02199489250779152,0.0006280786474235356,0.0006280786474235356,,,,
133,,,,,0.0001395513245370239,0.017409009858965874,0.0005050008767284453,0.0005050008767284453,,,,
134,,,,,0.0001450563286198303,0.024814274162054062,0.0006928850198164582,0.0006928850198164582,,,,
135,,,,,0.000142817065352574,0.020417604595422745,0.0005818486679345369,0.0005818486679345369,,,,
136,,,,,0.00015825621085241437,0.023915575817227364,0.0006770174950361252,0.0006770174950361252,,,,
137,,,,,0.00013892022252548486,0.01877332478761673,0.000538793217856437,0.000538793217856437,,,,
138,,,,,0.00015203240036498755,0.023092398419976234,0.0006533261621370912,0.0006533261621370912,,,,
139,,,,,0.00016508957196492702,0.022761931642889977,0.0006515930872410536,0.0006515930872410536,,,,
140,0.00013827135262545198,0.039177056401968,0.001048562116920948,0.001048562116920948,0.0001581420365255326,0.02184324339032173,0.0006251521408557892,0.0006251521408557892,100.0,100.0,2.4836240915151744,2.4836240915151744
141,,,,,0.00014528022438753396,0.023228470236063004,0.000653351831715554,0.000653351831715554,,,,
142,,,,,0.00015212238940875977,0.025305669754743576,0.000708702951669693,0.000708702951669693,,,,
143,,,,,0.0001516314223408699,0.022910159081220627,0.0006485696649178863,0.0006485696649178863,,,,
144,,,,,0.00016005562792997807,0.023132100701332092,0.000658330274745822,0.000658330274745822,,,,
145,,,,,0.00017096508236136287,0.02708321623504162,0.0007625629659742117,0.0007625629659742117,,,,
146,,,,,0.00014096839004196227,0.018648244440555573,0.0005366902914829552,0.0005366902914829552,,,,
147,,,,,0.00013968140410725027,0.018218165263533592,0.000525294803082943,0.000525294803082943,,,,
148,,,,,0.00015158213500399143,0.022478748112916946,0.0006377598037943244,0.0006377598037943244,,,,
149,,,,,0.00017335088341496885,0.0254051573574543,0.0007218043319880962,0.0007218043319880962,,,,
150,0.00013505191600415856,0.03731687739491463,0.0010004478972405195,0.0010004478972405195,0.00017100275726988912,0.026473255828022957,0.0007473328150808811,0.0007473328150808811,100.0,100.0,2.3745704064002404,2.3745704064002404
151,,,,,0.0001511899463366717,0.022068850696086884,0.000627316243480891,0.000627316243480891,,,,
152,,,,,0.00014123765868134797,0.02041657082736492,0.0005810330621898174,0.0005810330621898174,,,,
153,,,,,0.00014677480794489384,0.02086985483765602,0.0005951337516307831,0.0005951337516307831,,,,
154,,,,,0.00015708156570326537,0.022549696266651154,0.0006422832375392318,0.0006422832375392318,,,,
155,,,,,0.00013599463272839785,0.015289407223463058,0.000450232473667711,0.000450232473667711,,,,
156,,,,,0.00015574261487927288,0.022327443584799767,0.0006360574043355882,0.0006360574043355882,,,,
157,,,,,0.00017607799964025617,0.026794161647558212,0.000757893081754446,0.000757893081754446,,,,
158,,,,,0.00014557268877979368,0.017842238768935204,0.0005188422510400414,0.0005188422510400414,,,,
159,,,,,0.0001492501178290695,0.022031810134649277,0.0006254203617572784,0.0006254203617572784,,,,
160,0.0001332036918029189,0.03709059953689575,0.0009938667062669992,0.0009938667062669992,0.00014731934061273932,0.020675893872976303,0.000590556999668479,0.000590556999668479,100.0,100.0,2.3855665647066555,2.3855665647066555
161,,,,,0.00013089709682390094,0.020698269829154015,0.0005829053116030991,0.0005829053116030991,,,,
162,,,,,0.0001575049536768347,0.02364015020430088,0.0006697562639601529,0.0006697562639601529,,,,
163,,,,,0.00014843382814433426,0.021190959960222244,0.0006039909203536808,0.0006039909203536808,,,,
164,,,,,0.00015499039727728814,0.018735678866505623,0.000545887160114944,0.000545887160114944,,,,
165,,,,,0.00014916529471520334,0.024194922298192978,0.0006794556975364685,0.0006794556975364685,,,,
166,,,,,0.00013925351959187537,0.023203818127512932,0.0006497221766039729,0.0006497221766039729,,,,
167,,,,,0.000154450346599333,0.019757580012083054,0.0005711647099815309,0.0005711647099815309,,,,
168,,,,,0.00014494605420622975,0.01984623447060585,0.0005686288932338357,0.0005686288932338357,,,,
169,,,,,0.00015368161257356405,0.021826080977916718,0.0006224928074516356,0.0006224928074516356,,,,
170,0.00013614259660243988,0.03695240989327431,0.0009918815921992064,0.0009918815921992064,0.0001522635284345597,0.024175168946385384,0.0006805109442211688,0.0006805109442211688,100.0,100.0,2.341814774733323,2.341814774733323
171,,,,,0.00015030849317554384,0.024267898872494698,0.0006818517576903105,0.0006818517576903105,,,,
172,,,,,0.0001421560300514102,0.02005588635802269,0.0005724751972593367,0.0005724751972593367,,,,
173,,,,,0.00014716654550284147,0.0203239768743515,0.0005816827178932726,0.0005816827178932726,,,,
174,,,,,0.00015312233881559223,0.02357780933380127,0.0006660062936134636,0.0006660062936134636,,,,
175,,,,,0.00017009854491334409,0.028224214911460876,0.000790654681622982,0.000790654681622982,,,,
176,,,,,0.00017119309632107615,0.024586834013462067,0.0007002673810347915,0.0007002673810347915,,,,
177,,,,,0.00015657149197068065,0.025304770097136497,0.0007109050638973713,0.0007109050638973713,,,,
178,,,,,0.00016604282427579165,0.02416246011853218,0.0006870829383842647,0.0006870829383842647,,,,
179,,,,,0.00013879885955248028,0.020397691056132317,0.0005793417221866548,0.0005793417221866548,,,,
180,0.00013473411672748625,0.03705356642603874,0.0009937061695382,0.0009937061695382,0.00015644515224266797,0.0207809004932642,0.000597745121922344,0.000597745121922344,100.0,100.0,2.344842764047476,2.344842764047476
181,,,,,0.0001240141864400357,0.015294831246137619,0.00044437788892537355,0.00044437788892537355,,,,
182,,,,,0.00014153461961541325,0.019101133570075035,0.0005482956767082214,0.0005482956767082214,,,,
183,,,,,0.00016510658315382898,0.025820288807153702,0.0007280605495907366,0.0007280605495907366,,,,
184,,,,,0.00016285541641991585,0.023439161479473114,0.0006674067699350417,0.0006674067699350417,,,,
185,,,,,0.00014641377492807806,0.020874977111816406,0.0005950813065283,0.0005950813065283,,,,
186,,,,,0.0001511011942056939,0.02191791497170925,0.0006234984612092376,0.0006234984612092376,,,,
187,,,,,0.00016172256437130272,0.025050073862075806,0.0007071131258271635,0.0007071131258271635,,,,
188,,,,,0.00015576525765936822,0.023810580372810364,0.0006731471512466669,0.0006731471512466669,,,,
189,,,,,0.00015074809198267758,0.02344619669020176,0.0006615290185436606,0.0006615290185436606,,,,
190,0.00013524996757041663,0.037171363830566406,0.0009969091042876244,0.0009969091042876244,0.0001608714956091717,0.02222238853573799,0.0006359954713843763,0.0006359954713843763,100.0,100.0,2.38227286705604,2.38227286705604
191,,,,,0.0001851116685429588,0.02854563482105732,0.000806196709163487,0.000806196709163487,,,,
192,,,,,0.0001608838065294549,0.022512413561344147,0.0006432522786781192,0.0006432522786781192,,,,
193,,,,,0.00014218059368431568,0.0203178059309721,0.0005790354334749281,0.0005790354334749281,,,,
194,,,,,0.00014660172746516764,0.019007572904229164,0.0005484902067109942,0.0005484902067109942,,,,
195,,,,,0.00012146642984589562,0.013796243816614151,0.00040563929360359907,0.00040563929360359907,,,,
196,,,,,0.00015831869677640498,0.022701630368828773,0.0006467000930570066,0.0006467000930570066,,,,
197,,,,,0.00015686251572333276,0.02121669426560402,0.0006088486406952143,0.0006088486406952143,,,,
198,,,,,0.00015805992006789893,0.023954711854457855,0.0006778977694921196,0.0006778977694921196,,,,
199,,,,,0.0001369482633890584,0.016855420544743538,0.0004898596089333296,0.0004898596089333296,,,,
200,0.00013260962441563606,0.036277029663324356,0.0009732305770739913,0.0009732305770739913,0.0001671622012509033,0.02852296270430088,0.0007966551929712296,0.0007966551929712296,100.0,100.0,2.2553329467773438,2.2553329467773438
201,,,,,0.00013972309534437954,0.019323324784636497,0.0005529446643777192,0.0005529446643777192,,,,
202,,,,,0.0001599859824636951,0.02570057287812233,0.0007225072477012873,0.0007225072477012873,,,,
203,,,,,0.00013812925317324698,0.017571482807397842,0.0005083517171442509,0.0005083517171442509,,,,
204,,,,,0.00014651964011136442,0.02071048691868782,0.0005910220206715167,0.0005910220206715167,,,,
205,,,,,0.0001778118748916313,0.024890722706913948,0.0007111740414984524,0.0007111740414984524,,,,
206,,,,,0.0001455419696867466,0.022005947306752205,0.000622919702436775,0.000622919702436775,,,,
207,,,,,0.00015144102508202195,0.021883884444832802,0.0006228176061995327,0.0006228176061995327,,,,
208,,,,,0.000181038019945845,0.026997186243534088,0.0007654486689716578,0.0007654486689716578,,,,
209,,,,,0.00014455060590989888,0.02006218023598194,0.0005738298059441149,0.0005738298059441149,,,,
210,0.00013424675853457302,0.03686816245317459,0.0009888274362310767,0.0009888274362310767,0.00015727138088550419,0.022888801991939545,0.0006508557125926018,0.0006508557125926018,100.0,100.0,2.3540950188269982,2.3540950188269982
211,,,,,0.00017215093248523772,0.026204906404018402,0.0007411980768665671,0.0007411980768665671,,,,
212,,,,,0.00013220337859820575,0.017489323392510414,0.0005033347988501191,0.0005033347988501191,,,,
213,,,,,0.00014291354455053806,0.020038282498717308,0.0005724138463847339,0.0005724138463847339,,,,
214,,,,,0.00014918323722667992,0.01920630782842636,0.0005547493929043412,0.0005547493929043412,,,,
215,,,,,0.0001440344931324944,0.02043967694044113,0.0005830092122778296,0.0005830092122778296,,,,
216,,,,,0.00014878044021315873,0.019252851605415344,0.0005557115655392408,0.0005557115655392408,,,,
217,,,,,0.00014065083814784884,0.020194722339510918,0.0005751935532316566,0.0005751935532316566,,,,
218,,,,,0.00016176796634681523,0.02216637134552002,0.0006350433104671538,0.0006350433104671538,,,,
219,,,,,0.00016221756231971085,0.024070153012871742,0.0006828626501373947,0.0006828626501373947,,,,
220,0.00013392383698374033,0.03553374111652374,0.000955305527895689,0.000955305527895689,0.00015535741113126278,0.022044712677598,0.0006287965807132423,0.0006287965807132423,100.0,100.0,2.2720601008488583,2.2720601008488583
221,,,,,0.0001536852796562016,0.0228022001683712,0.0006468976498581469,0.0006468976498581469,,,,
222,,,,,0.00014443346299231052,0.022117041051387787,0.0006251427694223821,0.0006251427694223821,,,,
223,,,,,0.00014061672845855355,0.01990090124309063,0.000567830924410373,0.000567830924410373,,,,
224,,,,,0.0001535747869638726,0.02147124707698822,0.0006135685835033655,0.0006135685835033655,,,,
225,,,,,0.00014399993233382702,0.02080799825489521,0.0005921999108977616,0.0005921999108977616,,,,
226,,,,,0.00017103088612202555,0.02834170311689377,0.0007940580253489316,0.0007940580253489316,,,,
227,,,,,0.00015977630391716957,0.023434989154338837,0.0006657628691755235,0.0006657628691755235,,,,
228,,,,,0.00013763434253633022,0.017101727426052094,0.0004963603569194674,0.0004963603569194674,,,,
229,,,,,0.00015207246178761125,0.02246863767504692,0.0006377521785907447,0.0006377521785907447,,,,
230,0.0001356193533865735,0.03727152198553085,0.0009995977161452174,0.0009995977161452174,0.00014934470527805388,0.021956657990813255,0.0006235887994989753,0.0006235887994989753,100.0,100.0,2.361300981961764,2.361300981961764
231,,,,,0.00014242884935811162,0.019403375685214996,0.0005562988226301968,0.0005562988226301968,,,,
232,,,,,0.0001286506449105218,0.014954892918467522,0.00043819763232022524,0.00043819763232022524,,,,
233,,,,,0.00014814465248491615,0.018497351557016373,0.0005365061806514859,0.0005365061806514859,,,,
234,,,,,0.00014083815040066838,0.018807783722877502,0.0005406136624515057,0.0005406136624515057,,,,
235,,,,,0.00015908092609606683,0.02126562036573887,0.000611180963460356,0.000611180963460356,,,,
236,,,,,0.00015479724970646203,0.024625269696116447,0.0006930303643457592,0.0006930303643457592,,,,
237,,,,,0.00014035492495168,0.019176702946424484,0.0005495949881151319,0.0005495949881151319,,,,
238,,,,,0.00018525193445384502,0.02790898084640503,0.0007903504883870482,0.0007903504883870482,,,,
239,,,,,0.0001389622048009187,0.018004681915044785,0.0005195981357246637,0.0005195981357246637,,,,
240,0.0001368047232972458,0.03735700249671936,0.0010023274226114154,0.0010023274226114154,0.00016286276513710618,0.02332463674247265,0.0006645473185926676,0.0006645473185926676,100.0,100.0,2.313904102032001,2.313904102032001
241,,,,,0.0001619636605028063,0.024110157042741776,0.0006837357650510967,0.0006837357650510967,,,,
242,,,,,0.00013847107766196132,0.018276318907737732,0.0005261435871943831,0.0005261435871943831,,,,
243,,,,,0.00015057534619700164,0.021967388689517975,0.0006244723917916417,0.0006244723917916417,,,,
244,,,,,0.0001475523313274607,0.02295762300491333,0.0006477167480625212,0.0006477167480625212,,,,
245,,,,,0.00015897941193543375,0.026058174669742584,0.0007309440989047289,0.0007309440989047289,,,,
246,,,,,0.00015216515748761594,0.018660210072994232,0.0005425878334790468,0.0005425878334790468,,,,
247,,,,,0.00014253325934987515,0.02209465578198433,0.0006236330373212695,0.0006236330373212695,,,,
248,,,,,0.00013592066534329206,0.0180845707654953,0.0005200746236369014,0.0005200746236369014,,,,
249,,,,,0.0001581673277541995,0.023647917434573174,0.0006702815880998969,0.0006702815880998969,,,,
250,0.00013560018851421773,0.037567224353551865,0.0010069807758554816,0.0010069807758554816,0.00017440348165109754,0.024505050852894783,0.0006998280296102166,0.0006998280296102166,100.0,100.0,2.3865701235257664,2.3865701235257664
